Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000174640,SLCO2A1,-3.44E-01,-4.57E-01,-2.32E-01,7.34E-01,-6.021,3.08E-09,5.06E-05,9.7562558
ENSG00000169432,SCN9A,2.29E-01,1.50E-01,3.09E-01,4.044,5.664,2.34E-08,1.73E-04,8.7716997
ENSG00000165092,ALDH1A1,-2.74E-01,-3.71E-01,-1.78E-01,6.038,-5.609,3.17E-08,1.73E-04,8.5207681
ENSG00000188848,BEND4,2.42E-01,1.56E-01,3.28E-01,3.266,5.519,5.17E-08,2.12E-04,7.9857549
ENSG00000197121,PGAP1,1.67E-01,1.04E-01,2.30E-01,7.021,5.235,2.32E-07,7.62E-04,6.6520065
ENSG00000145022,TCTA,-1.29E-01,-1.77E-01,-7.99E-02,4.589,-5.192,2.90E-07,7.73E-04,6.4501414
ENSG00000168913,ENHO,-2.47E-01,-3.41E-01,-1.52E-01,6.031,-5.128,4.01E-07,7.73E-04,6.1429187
ENSG00000198771,RCSD1,-1.92E-01,-2.66E-01,-1.18E-01,2.768,-5.105,4.49E-07,7.73E-04,5.9640718
ENSG00000125967,NECAB3,-1.52E-01,-2.11E-01,-9.28E-02,4.966,-5.054,5.81E-07,7.73E-04,5.8026304
ENSG00000101412,E2F1,-1.70E-01,-2.36E-01,-1.03E-01,2.589,-5.03,6.56E-07,7.73E-04,5.6035591
ENSG00000253304,TMEM200B,-2.64E-01,-3.68E-01,-1.61E-01,5.10E-01,-5.014,7.12E-07,7.73E-04,5.0970004
ENSG00000172987,HPSE2,-3.58E-01,-4.98E-01,-2.18E-01,1.945,-5.013,7.13E-07,7.73E-04,5.4342119
ENSG00000169836,TACR3,3.10E-01,1.89E-01,4.32E-01,7.69E-01,5.007,7.36E-07,7.73E-04,5.1601671
ENSG00000168453,HR,-2.10E-01,-2.93E-01,-1.28E-01,4.877,-5.007,7.37E-07,7.73E-04,5.5829929
ENSG00000116191,RALGPS2,1.32E-01,8.03E-02,1.84E-01,4.856,4.997,7.75E-07,7.73E-04,5.5352294
ENSG00000135299,ANKRD6,1.25E-01,7.58E-02,1.74E-01,5.291,4.99,7.99E-07,7.73E-04,5.5035138
ENSG00000185477,GPRIN3,1.57E-01,9.53E-02,2.19E-01,4.478,4.983,8.30E-07,7.73E-04,5.4735964
ENSG00000090581,GNPTG,-1.23E-01,-1.72E-01,-7.45E-02,5.469,-4.979,8.47E-07,7.73E-04,5.4490746
ENSG00000128606,LRRC17,-2.28E-01,-3.20E-01,-1.36E-01,1.342,-4.854,1.56E-06,1.35E-03,4.6399596
ENSG00000151718,WWC2,1.09E-01,6.47E-02,1.53E-01,5.111,4.832,1.74E-06,1.43E-03,4.7823389
ENSG00000080298,RFX3,1.29E-01,7.59E-02,1.82E-01,7.184,4.771,2.32E-06,1.82E-03,4.5010264
ENSG00000112964,GHR,1.63E-01,9.56E-02,2.30E-01,2.734,4.759,2.47E-06,1.84E-03,4.4282653
ENSG00000114529,C3orf52,2.71E-01,1.59E-01,3.84E-01,5.25E-01,4.734,2.77E-06,1.98E-03,3.9643588
ENSG00000196998,WDR45,-1.01E-01,-1.43E-01,-5.88E-02,4.498,-4.703,3.22E-06,2.13E-03,4.2223073
ENSG00000157911,PEX10,-1.21E-01,-1.72E-01,-7.06E-02,4.768,-4.702,3.23E-06,2.13E-03,4.2138581
