EnsemblID,Gene type,Gene symbol,Section-related expressed,PCC with DS2 (human),PCC with DS2 (macaque),Section specificity in human (Log2FC),Section specificity in chimpanzee (Log2FC),Section specificity in macaque (Log2FC),Layer marker in human,Log2FC to other layers in human,Specificity score in human,Layer marker in chimpanzee,Log2FC to other layers in chimpanzee,Specificity score in chimpanzee,Layer marker in macaque,Log2FC to other layers in macaque,Specificity score in macaque,Correlation to human ISH pattern,Human-specific changed,Chimpanzee-specific changed,Macaque-specific changed,Type of lineage-specific change
ENSG00000000003.10,protein_coding,TSPAN6,TRUE,0.75464 ,0.86207 ,1.364255132,1.893982791,1.463463551,L1,0.922594191,0.49938 ,L1,1.25723 ,0.44028 ,L1,1.23262 ,0.46934 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000000419.8,protein_coding,DPM1,FALSE,0.65303 ,-0.15679 ,0.202843615,0.059326779,0.059794799,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000000457.8,protein_coding,SCYL3,FALSE,-0.05294 ,0.23997 ,0.164956595,0.193419575,0.130145858,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000000460.12,protein_coding,C1orf112,TRUE,0.79009 ,-0.14903 ,1.002566128,0.800625751,0.366923691,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000000938.8,protein_coding,FGR,TRUE,0.72537 ,0.93917 ,1.910343564,1.275859847,1.52521061,L1,1.501402127,0.48922 ,No,NA,NA,L1,1.31278 ,0.34384 ,NA,FALSE,TRUE,FALSE,T2
ENSG00000000971.11,protein_coding,CFH,TRUE,0.78659 ,0.92815 ,2.395583747,1.855179467,2.177295603,L1,1.596416954,0.57175 ,No,NA,NA,L1,1.95784 ,0.44380 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000001036.8,protein_coding,FUCA2,TRUE,NA,NA,1.520041984,0.852463883,0.405184798,L6,0.656248871,0.80263 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000001084.6,protein_coding,GCLC,TRUE,0.92749 ,0.96646 ,1.624491999,1.596480164,0.902154509,L6,0.85456385,0.91129 ,L6,0.88264 ,0.73694 ,L6,0.49505 ,0.90139 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000001167.10,protein_coding,NFYA,TRUE,0.96772 ,0.94108 ,0.760814363,0.635616902,0.706956001,NA,NA,NA,L6,0.26303 ,0.81990 ,L6,0.34242 ,0.77963 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000001460.13,protein_coding,STPG1,TRUE,NA,NA,0.251862327,0.181876173,0.438031167,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000001461.12,protein_coding,NIPAL3,TRUE,0.87472 ,0.95125 ,1.295369817,0.963528117,0.20685039,L6,0.80076108,0.66586 ,L6,0.65674 ,0.54701 ,L5,0.33461 ,0.41131 ,NA,FALSE,FALSE,TRUE,T3
ENSG00000001497.12,protein_coding,LAS1L,TRUE,-0.14065 ,0.41209 ,1.006239248,0.643440089,0.112026826,L6,0.46995311,0.75367 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000001561.6,protein_coding,ENPP4,TRUE,-0.08140 ,0.98241 ,1.647352185,1.344344858,0.705350392,L6,1.066510991,0.77713 ,L6,0.86461 ,0.74597 ,L6,0.57345 ,0.51413 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000001617.7,protein_coding,SEMA3F,TRUE,0.91631 ,0.65997 ,1.215349677,0.522356276,1.290002758,NA,NA,NA,No,NA,NA,L1,1.10645 ,0.39210 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000001629.5,protein_coding,ANKIB1,TRUE,0.97059 ,0.94269 ,1.673250636,1.262806,0.697389621,L6,0.936733475,0.83498 ,L6,0.63955 ,0.78895 ,L6,0.37942 ,0.86783 ,NA,FALSE,FALSE,TRUE,T2
ENSG00000001630.11,protein_coding,CYP51A1,TRUE,-0.26628 ,0.77026 ,0.474378623,0.258724933,0.333305063,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000001631.10,protein_coding,KRIT1,TRUE,-0.80161 ,0.55332 ,0.262592545,0.101891714,0.108982894,NA,NA,NA,No,NA,NA,No,NA,NA,NA,TRUE,FALSE,FALSE,T3
ENSG00000002016.11,protein_coding,RAD52,FALSE,-0.87957 ,0.87734 ,0.422118618,0.304103047,0.38562962,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000002330.9,protein_coding,BAD,TRUE,-0.90527 ,-0.93731 ,0.183336065,0.279903622,0.317556821,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000002549.7,protein_coding,LAP3,TRUE,0.92333 ,0.93175 ,0.842624172,0.602827671,0.930476608,NA,NA,NA,No,NA,NA,L6,0.53082 ,0.79652 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000002587.5,protein_coding,HS3ST1,TRUE,0.95234 ,0.93581 ,0.730643877,0.49113376,0.435236327,L4,0.890676932,0.28961 ,L4,0.54787 ,0.30437 ,L4,0.55858 ,0.43833 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000002745.8,protein_coding,WNT16,TRUE,0.65715 ,0.67920 ,0.91208486,0.765025892,0.505033292,L5,0.775764329,0.26962 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000002746.9,protein_coding,HECW1,TRUE,0.90689 ,0.96342 ,0.489549682,0.31784323,0.20082866,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000002822.11,protein_coding,MAD1L1,TRUE,0.75975 ,0.04479 ,0.247795049,0.18880914,0.195757428,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000002834.13,protein_coding,LASP1,TRUE,-0.10847 ,0.78588 ,0.09424663,0.081254568,0.141521912,NA,NA,NA,No,NA,NA,L5,0.13854 ,0.68684 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000002919.10,protein_coding,SNX11,FALSE,0.84282 ,-0.02073 ,0.116581035,0.1720344,0.131099398,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000002933.3,protein_coding,TMEM176A,TRUE,0.97264 ,0.93132 ,1.43943921,1.109966759,0.999581698,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,TRUE,FALSE,T2
ENSG00000003056.3,protein_coding,M6PR,FALSE,0.94707 ,0.54020 ,0.105036397,0.169717447,0.036255091,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003096.9,protein_coding,KLHL13,TRUE,0.89699 ,0.72857 ,0.724086625,0.760451702,0.897377105,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003137.4,protein_coding,CYP26B1,TRUE,0.75893 ,-0.12076 ,1.137732199,0.471824417,1.138566918,L4,1.414703873,0.39015 ,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003147.13,protein_coding,ICA1,TRUE,0.95823 ,0.92435 ,0.199642431,0.054067463,0.165645801,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T2
ENSG00000003249.8,protein_coding,DBNDD1,TRUE,0.94247 ,0.96590 ,0.760167635,0.403799559,0.407873775,NA,NA,NA,L3,0.67494 ,0.29214 ,L3,0.43179 ,0.27892 ,NA,FALSE,FALSE,FALSE,NA
ENSG00000003393.10,protein_coding,ALS2,TRUE,0.97942 ,0.92462 ,0.327729862,0.127396482,0.075940973,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,TRUE,T3
ENSG00000003402.14,protein_coding,CFLAR,TRUE,0.78579 ,0.75545 ,1.701593091,0.784605685,0.568229417,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003509.11,protein_coding,NDUFAF7,TRUE,0.92270 ,-0.71934 ,0.150301163,0.185791018,0.128400371,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003756.12,protein_coding,RBM5,TRUE,0.59772 ,0.92783 ,0.380375068,0.635817015,0.49205319,NA,NA,NA,No,NA,NA,No,NA,NA,NA,FALSE,FALSE,FALSE,NA
ENSG00000003987.9,protein_coding,MTMR7,TRUE,0.97478 ,0.93025 ,0.310147937,0.116857538,0.239839202,NA,NA,NA,No,NA,NA,L3,0.14492 ,0.26068 ,NA,FALSE,FALSE,TRUE,T1
ENSG00000003989.12,protein_coding,SLC7A2,TRUE,0.67058 ,0.95362 ,1.958223107,1.302222604,2.07609404,NA,NA,NA,No,NA,NA,L1,1.99922 ,0.30123 ,NA,FALSE,FALSE,FALSE,NA
