id,label
1,lh_G_and_S_frontomargin
2,lh_G_and_S_occipital_inf
3,lh_G_and_S_paracentral
4,lh_G_and_S_subcentral
5,lh_G_and_S_transv_frontopol
12,lh_G_front_inf-Opercular
13,lh_G_front_inf-Orbital
14,lh_G_front_inf-Triangul
15,lh_G_front_middle
16,lh_G_front_sup
17,lh_G_Ins_lg_and_S_cent_ins
18,lh_G_insular_short
19,lh_G_occipital_middle
21,lh_G_oc-temp_lat-fusifor
24,lh_G_orbital
25,lh_G_pariet_inf-Angular
26,lh_G_pariet_inf-Supramar
27,lh_G_parietal_sup
28,lh_G_postcentral
29,lh_G_precentral
33,lh_G_temp_sup-G_T_transv
34,lh_G_temp_sup-Lateral
35,lh_G_temp_sup-Plan_polar
36,lh_G_temp_sup-Plan_tempo
37,lh_G_temporal_inf
38,lh_G_temporal_middle
39,lh_Lat_Fis-ant-Horizont
40,lh_Lat_Fis-ant-Vertical
41,lh_Lat_Fis-post
42,lh_Medial_wall
43,lh_Pole_occipital
44,lh_Pole_temporal
46,lh_S_central
48,lh_S_circular_insula_ant
49,lh_S_circular_insula_inf
50,lh_S_circular_insula_sup
53,lh_S_front_inf
54,lh_S_front_middle
55,lh_S_front_sup
56,lh_S_interm_prim-Jensen
57,lh_S_intrapariet_and_P_trans
58,lh_S_oc_middle_and_Lunatus
59,lh_S_oc_sup_and_transversal
60,lh_S_occipital_ant
61,lh_S_oc-temp_lat
63,lh_S_orbital_lateral
65,lh_S_orbital-H_Shaped
68,lh_S_postcentral
69,lh_S_precentral-inf-part
70,lh_S_precentral-sup-part
73,lh_S_temporal_inf
74,lh_S_temporal_sup
75,lh_S_temporal_transverse
2,lh_G_and_S_occipital_inf
3,lh_G_and_S_paracentral
5,lh_G_and_S_transv_frontopol
6,lh_G_and_S_cingul-Ant
7,lh_G_and_S_cingul-Mid-Ant
8,lh_G_and_S_cingul-Mid-Post
9,lh_G_cingul-Post-dorsal
10,lh_G_cingul-Post-ventral
11,lh_G_cuneus
16,lh_G_front_sup
20,lh_G_occipital_sup
21,lh_G_oc-temp_lat-fusifor
22,lh_G_oc-temp_med-Lingual
23,lh_G_oc-temp_med-Parahip
27,lh_G_parietal_sup
30,lh_G_precuneus
31,lh_G_rectus
32,lh_G_subcallosal
35,lh_G_temp_sup-Plan_polar
37,lh_G_temporal_inf
42,lh_Medial_wall
43,lh_Pole_occipital
44,lh_Pole_temporal
45,lh_S_calcarine
47,lh_S_cingul-Marginalis
51,lh_S_collat_transv_ant
52,lh_S_collat_transv_post
62,lh_S_oc-temp_med_and_Lingual
64,lh_S_orbital_med-olfact
66,lh_S_parieto_occipital
67,lh_S_pericallosal
71,lh_S_suborbital
72,lh_S_subparietal
