symbol,Ensembl gene id,colon,kidney,liver,pancreas,lung,prostate,brain,stomach,spleen,lymph node,appendix,small intestine,adrenal gland,duodenum,adipose tissue,endometrium,placenta,testis,gall bladder,urinary bladder,thyroid gland,esophagus,heart,skin,ovary,bone marrow,salivary gland,Category
METTL25,ENSG00000127720,4.35,4.45,2.51,2.35,4.09,5.03,2.21,4.19,3.8,5.54,4.44,3.88,4.42,4.79,3.8,4.76,3.56,6.04,4.08,6.73,5.7,4.44,3.56,4.36,6.06,2.22,3.1,Expressed in all low
OR13A1,ENSG00000256574,0.02,0.04,0.02,0.0,0.02,0.19,0.0,0.09,0.24,0.47,0.11,0.06,0.0,0.16,0.03,0.05,0.02,0.12,0.06,0.87,0.01,0.17,0.04,0.01,0.04,0.07,0.11,Not detected
PPARGC1A,ENSG00000109819,8.21,25.96,25.39,2.32,5.1,3.27,5.35,4.61,0.77,0.39,1.53,7.15,3.7,8.41,2.18,1.97,0.22,9.64,3.93,2.81,23.18,4.5,24.55,1.34,1.29,0.01,26.07,Mixed high
PSMC2,ENSG00000161057,45.17,51.94,54.34,17.0,45.25,49.72,46.34,49.62,46.11,62.52,58.92,43.13,59.21,41.5,43.21,45.64,57.99,50.36,47.71,58.42,56.4,59.33,60.1,53.37,37.34,69.13,34.64,Expressed in all high
LINC02877,ENSG00000237787,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.08,Not detected
THOC3,ENSG00000051596,26.5,22.12,13.68,5.42,14.36,14.18,18.24,22.87,18.73,36.93,16.79,21.48,15.38,16.26,13.87,20.93,21.2,50.85,10.57,29.93,22.13,61.47,6.84,23.96,21.21,28.89,12.48,Expressed in all low
C5orf34,ENSG00000172244,1.78,1.27,0.33,0.11,0.79,3.07,1.13,0.98,2.05,3.87,2.17,1.33,0.58,1.61,0.68,1.59,1.61,5.06,0.89,1.31,1.43,1.45,0.94,2.32,1.14,1.37,0.66,Mixed low
TSPYL1,ENSG00000189241,34.16,76.1,41.13,20.87,34.11,58.71,108.92,37.6,38.58,31.92,25.23,28.58,77.97,30.38,33.06,31.01,24.15,38.78,35.09,36.63,60.46,36.28,42.53,23.88,48.03,32.98,33.79,Expressed in all high
FES,ENSG00000182511,7.33,5.96,13.11,6.0,15.98,9.58,2.95,6.13,89.18,14.35,28.07,8.16,7.79,5.81,16.01,14.2,16.14,5.36,16.13,15.5,8.96,6.49,7.4,5.79,14.16,54.44,52.2,Expressed in all low
PPP4R3A,ENSG00000100796,39.19,28.23,25.2,19.39,33.92,32.69,20.05,36.69,46.96,62.51,45.57,35.34,29.14,33.6,25.33,37.29,32.78,47.46,35.05,39.37,34.84,33.95,19.35,42.95,32.7,91.22,25.3,Expressed in all high
AHI1,ENSG00000135541,10.38,8.59,5.58,7.01,10.56,17.55,15.86,13.06,6.68,8.48,11.27,7.05,25.23,6.54,5.62,15.22,6.15,36.05,13.44,12.15,14.56,10.7,7.34,8.85,11.78,5.13,7.32,Expressed in all low
TRIM6-TRIM34,ENSG00000258588,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,Not detected
SNX27,ENSG00000143376,6.46,13.57,5.21,2.98,8.32,7.76,15.82,7.66,10.67,7.02,9.18,5.37,7.45,5.15,4.69,7.39,10.57,10.98,8.03,9.22,8.39,8.67,5.98,7.9,9.48,5.27,4.39,Expressed in all low
FER1L6,ENSG00000214814,7.61,3.41,0.0,0.01,0.13,0.02,0.13,37.55,0.01,0.01,0.31,4.03,0.0,2.49,0.05,0.05,0.01,2.05,0.09,0.15,1.91,0.1,0.06,0.01,0.04,0.0,0.02,Group enriched
ATP7A,ENSG00000165240,4.35,4.4,1.31,1.04,4.34,5.25,1.6,5.19,3.82,3.76,3.5,2.81,4.91,3.44,2.76,3.56,3.26,1.78,3.94,4.69,4.3,4.97,2.06,11.03,3.35,2.18,4.03,Expressed in all low
S1PR5,ENSG00000180739,0.41,0.23,1.1,0.06,1.88,1.03,6.57,0.24,7.26,0.76,0.72,0.18,0.18,0.18,0.45,0.34,1.37,0.19,0.24,1.51,0.12,2.21,0.16,12.11,0.06,9.52,0.33,Mixed high
MRPL13,ENSG00000172172,38.49,32.17,27.78,8.03,16.95,23.04,13.67,21.17,14.37,27.86,21.91,23.39,30.71,23.97,18.63,17.25,22.9,18.74,20.79,28.35,22.5,27.05,28.63,13.59,12.56,15.72,16.64,Expressed in all low
GAP43,ENSG00000172020,3.64,0.18,0.03,0.42,0.18,0.97,176.08,0.21,0.07,0.19,6.81,4.53,5.22,1.52,0.29,0.14,1.8,0.39,4.72,0.88,0.04,1.05,3.06,0.03,0.09,0.0,1.52,Moderately tissue enriched
RSPH14,ENSG00000100218,0.37,5.46,0.13,0.0,1.4,1.03,1.3,0.98,0.11,0.22,0.38,0.12,2.38,0.05,1.82,0.66,0.46,15.77,0.79,0.19,1.04,0.28,0.15,1.17,2.53,0.16,1.62,Mixed high
TPRA1,ENSG00000163870,12.41,14.77,10.23,11.51,19.31,16.73,10.23,13.75,16.26,11.84,10.62,14.79,18.23,15.14,14.42,22.83,24.72,12.97,15.87,17.04,17.61,12.18,10.83,21.06,21.54,15.28,18.33,Expressed in all high
TFB1M,ENSG00000029639,8.56,6.33,8.15,2.71,6.46,6.08,4.67,7.8,8.63,13.17,8.92,7.05,17.95,7.13,5.78,6.78,4.36,16.12,7.35,9.27,9.92,8.86,11.19,8.7,8.36,3.01,5.29,Expressed in all low
TERF2,ENSG00000132604,15.18,14.92,10.07,9.8,14.38,13.71,25.34,12.7,16.14,37.48,20.28,11.77,15.1,11.97,14.19,22.09,16.74,19.35,15.12,17.44,19.15,15.84,13.62,10.97,18.97,11.72,9.13,Expressed in all low
SCAF11,ENSG00000139218,45.09,35.75,31.17,11.84,32.89,31.76,23.07,37.05,46.14,55.19,46.58,35.33,26.54,31.56,32.13,36.82,28.56,39.9,37.75,40.75,37.09,34.33,28.73,30.72,42.77,56.08,25.09,Expressed in all high
PRMT8,ENSG00000111218,0.08,0.33,0.0,0.31,0.88,0.03,11.64,0.02,0.0,0.0,0.0,0.0,0.02,0.06,0.06,0.03,0.02,1.36,0.02,0.0,0.03,0.0,0.56,0.0,0.09,0.0,0.0,Moderately tissue enriched
