GeneName_ENSEMBLGeneID,gene,function,DESeq2 baseMean expression,Pritzker_FoldChange,Pritzker_Pvalue,Pritzker_FDR,Stanley_FoldChange,Stanley Pvalue,Stanley_FDR
ENSG00000078369,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4396]",26510.65643,-0.199585665,0.025079262,0.220381159,-0.265357028,4.06E-07,0.000304015
ENSG00000187730,GABRD,"gamma-aminobutyric acid (GABA) A receptor, delta [Source:HGNC Symbol;Acc:HGNC:4084]",4318.484942,-0.30103568,0.035951734,0.249463182,-0.317180953,0.009230819,0.086141022
ENSG00000067606,PRKCZ,"protein kinase C, zeta [Source:HGNC Symbol;Acc:HGNC:9412]",4047.797378,-0.206597762,0.045505458,0.270631737,-0.297226418,0.000185717,0.009258697
ENSG00000182873,RP11-181G12.2,,264.3738146,0.302663922,0.023318166,0.213899517,0.56375082,0.001666881,0.031959856
ENSG00000177133,LINC00982,long intergenic non-protein coding RNA 982 [Source:HGNC Symbol;Acc:HGNC:48664],972.8255933,0.589728428,0.03691411,0.250838027,0.830349955,0.000284059,0.012014153
ENSG00000142611,PRDM16,PR domain containing 16 [Source:HGNC Symbol;Acc:HGNC:14000],644.1020862,0.459796519,0.02894349,0.230228055,0.639302588,0.000329544,0.012904983
ENSG00000158109,TPRG1L,tumor protein p63 regulated 1-like [Source:HGNC Symbol;Acc:HGNC:27007],6265.651453,-0.185713141,0.044419482,0.267925957,-0.164712441,0.009195975,0.085939598
ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816],25242.52766,-0.212176109,0.025629524,0.221375223,-0.162845564,0.024531279,0.153908245
ENSG00000171603,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447],46474.54344,-0.250666943,0.026041961,0.222186419,-0.209935239,0.00673176,0.071816523
ENSG00000054523,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],28281.75613,-0.192456504,0.021273906,0.207612702,-0.140234563,0.028737719,0.168871252
ENSG00000177674,AGTRAP,angiotensin II receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:13539],254.5977599,0.430270163,0.00785516,0.149928925,0.454576807,0.020966529,0.139225488
ENSG00000048707,VPS13D,vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:23595],5646.962964,-0.179458225,0.044328369,0.267868618,-0.23184041,0.002009752,0.03573443
ENSG00000159423,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]",1917.630485,0.518473826,0.005617795,0.134166857,0.637096845,0.000185149,0.009258697
ENSG00000173436,MINOS1,mitochondrial inner membrane organizing system 1 [Source:HGNC Symbol;Acc:HGNC:32068],656.381799,-0.195098644,0.018557363,0.197340955,-0.362411753,0.001019035,0.023629217
ENSG00000158825,CDA,cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712],27.25513592,0.601624921,0.014794567,0.183020286,1.427514012,0.007335402,NA
ENSG00000249087,ZNF436-AS1,ZNF436 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25122],141.9600183,0.305814315,0.008231763,0.151641967,0.395046098,0.040761572,0.201660876
ENSG00000117318,ID3,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:HGNC:5362]",297.8457314,0.401711115,0.041789559,0.262851817,0.409898435,0.045901243,0.215179713
ENSG00000117305,HMGCL,3-hydroxymethyl-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005],452.9971117,0.135011327,0.028182757,0.227817158,0.28906711,0.043989451,0.210170021
ENSG00000158195,WASF2,"WAS protein family, member 2 [Source:HGNC Symbol;Acc:HGNC:12733]",3297.238481,0.35123456,0.013173041,0.177464247,0.388219648,0.000641938,0.018088701
ENSG00000180098,TRNAU1AP,tRNA selenocysteine 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30813],401.0567303,0.199228315,0.026147703,0.222186419,0.299529491,0.00754952,0.076388229
ENSG00000121753,ADGRB2,adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944],36373.64719,-0.269880521,0.035540362,0.248681506,-0.167694926,0.031662813,0.177207849
ENSG00000116544,DLGAP3,"discs, large (Drosophila) homolog-associated protein 3 [Source:HGNC Symbol;Acc:HGNC:30368]",9549.125722,-0.377516096,0.038551389,0.255424607,-0.336527058,2.16E-05,0.002597768
ENSG00000163873,GRIK3,"glutamate receptor, ionotropic, kainate 3 [Source:HGNC Symbol;Acc:HGNC:4581]",4744.096546,-0.368438417,0.007389233,0.147576593,-0.459386576,1.78E-05,0.002234485
ENSG00000163879,DNALI1,"dynein, axonemal, light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]",313.6950026,0.316077026,0.003134615,0.112546394,0.451683314,0.004122351,0.054833376
ENSG00000183317,EPHA10,EPH receptor A10 [Source:HGNC Symbol;Acc:HGNC:19987],1848.070841,-0.291447555,0.006834996,0.143564867,-0.354264818,0.000824387,0.020628776
ENSG00000185090,MANEAL,"mannosidase, endo-alpha-like [Source:HGNC Symbol;Acc:HGNC:26452]",634.5609858,-0.229365451,0.015346855,0.185572181,-0.430427553,0.015097871,0.113507956
ENSG00000084070,SMAP2,small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082],5072.531085,-0.241928839,0.033198782,0.242402141,-0.210711106,0.000409896,0.014282446
ENSG00000233674,RP11-184I16.3,,16.01432629,0.375141698,0.034075272,0.244928454,1.513587704,0.01083899,NA
ENSG00000173846,PLK3,polo-like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154],317.1489569,-0.232633617,0.035345105,0.248524597,0.484027417,0.044862597,0.211997442
ENSG00000232022,FAAHP1,fatty acid amide hydrolase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50679],35.74931773,0.711832983,0.002422796,0.10360428,1.034488821,0.039231312,NA
ENSG00000169213,RAB3B,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]",4303.637669,-0.513475667,0.002615666,0.105354284,-0.280058098,0.021161714,0.139735874
ENSG00000134748,PRPF38A,pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930],1205.444385,0.135107059,0.048534937,0.277397952,0.240335275,0.012007475,0.099578308
ENSG00000162378,ZYG11B,"zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]",5178.793499,-0.254381764,0.020071318,0.202200102,-0.194021719,0.004867872,0.059807919
ENSG00000157184,CPT2,carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330],226.827466,0.372338577,0.003866369,0.120960079,0.56516472,0.006250448,0.069212072
ENSG00000270172,No Gene Symbol Available,,401.0819152,-0.249247624,0.013441812,0.178547671,-0.391754026,0.005487837,0.06446259
ENSG00000162390,ACOT11,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],674.8302667,0.27850586,0.036976056,0.250846571,0.529902501,0.002904496,0.044712682
ENSG00000177606,JUN,jun proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6204],4294.429166,-0.244920677,0.038383186,0.254886905,-0.297800827,0.038142757,0.194896121
ENSG00000172456,FGGY,FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610],135.383959,0.216958626,0.008000268,0.150564756,0.502361363,0.014183948,0.109307474
ENSG00000116675,DNAJC6,"DnaJ (Hsp40) homolog, subfamily C, member 6 [Source:HGNC Symbol;Acc:HGNC:15469]",16083.1404,-0.351958904,0.019818764,0.201461337,-0.362477264,0.001036873,0.023822602
ENSG00000213625,LEPROT,leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477],948.491743,0.232987522,0.045881738,0.27124584,0.50839135,0.000342287,0.013049205
ENSG00000172380,GNG12,"guanine nucleotide binding protein (G protein), gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]",789.2597504,0.37704422,0.026816056,0.222910353,0.537077306,0.001578809,0.030866547
ENSG00000197568,HHLA3,HERV-H LTR-associating 3 [Source:HGNC Symbol;Acc:HGNC:4906],220.6797346,0.314345899,0.002915457,0.11120853,0.363103601,0.048853583,0.222965171
