Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Genes
CUSTOM47281618358528	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	3/10	0.12059572332645603	0.9964544870876761	2.658487731597396	PHYH;OGDHL;L2HGDH
CUSTOM47281618358528	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	3/10	0.12059572332645603	0.9964544870876761	2.658487731597396	DND1;TARDBP;CPEB3
CUSTOM47281618358528	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	2/7	0.21604495130570012	0.9964544870876761	2.6568284142071037	ELAVL4;TARDBP
CUSTOM47281618358528	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	1/3	0.33137382204636207	0.9964544870876761	3.414221460698222	GTF3C3
CUSTOM47281618358528	GOBP_ABSCISSION	2/2	0.01574871135894056	0.9964544870876761	7.975487743871936	ZFYVE19;SPART
CUSTOM47281618358528	GOBP_ACETYL_COA_METABOLIC_PROCESS	1/11	0.7716183425605219	0.9964544870876761	1.038067922560459	NUDT8
CUSTOM47281618358528	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	2/38	0.96088509132913	0.9964544870876761	0.5155499827835996	SLC25A12;TNF
CUSTOM47281618358528	GOBP_ACID_SECRETION	2/18	0.6799511937573359	0.9964544870876761	1.075605370252694	SV2A;TNF
CUSTOM47281618358528	GOBP_ACROSOME_ASSEMBLY	1/4	0.41535058542349	0.9964544870876761	2.6551724137931036	CCDC136
CUSTOM47281618358528	GOBP_ACROSOME_REACTION	2/13	0.4990592530196493	0.9964544870876761	1.4749041187260297	PLCD4;PLCB1
CUSTOM47281618358528	GOBP_ACTIN_CROSSLINK_FORMATION	1/8	0.6582836246300188	0.9964544870876761	1.404973983596437	GAS2
CUSTOM47281618358528	GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	6/50	0.6115720399339694	0.9964544870876761	1.0244665350512951	RICTOR;MKLN1;FGF7;CCL27;CDC42BPA;FES
CUSTOM47281618358528	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	13/70	0.09378949168419591	0.9964544870876761	1.5310431666289994	SCN1B;SCN2B;FGF12;FGF13;SLC9A1;SCN1A;ACTN4;MYO15A;PIK3CA;KCNJ3;SCN4B;GJC1;MYO19
