,G1,G2,G3
A1BG,-0.019987133910277875,-0.008619744793611762,-0.0002639441944782964
ABCA6,0.020055840160050097,-0.0037643479084343875,0.011879220103326503
ABCA9,0.01828574001245035,-0.008900698425418008,0.003258346465358679
ABCC12,-0.005852002901708839,0.033452058283787243,-0.034493756607947124
ABCC5,0.012313856864851085,-0.027045917457725183,-0.015971131839459092
ABCC8,0.018243880943106635,0.005570374296590892,-0.010526395604364407
ABCG4,0.01704238335891565,0.025766676590298968,0.006153893333731675
ABCG5,-0.011593544582539956,0.033162887363874044,0.016412043893590706
ABHD12,0.016141944458927228,0.022094202546256828,0.023548929085617065
ABHD12B,-0.005249200609831355,0.048711592414302486,0.0007649093208149671
ABHD17C,-0.01597742935420586,-0.003927020540992034,-0.008443636895322527
ABHD6,0.014326286207994504,0.011732751486115462,0.02652547778114498
ABLIM2,-0.01892237929667519,0.004319417259672822,-0.02554139049912033
ABLIM3,-0.020859973149974856,0.01233494936335786,0.003982304114166343
ABTB1,0.018612139282839824,0.030817229635885127,-0.008827446611261228
ABTB2,0.01724413724505686,-0.0014513326142066468,0.03580973438631488
ACADL,-0.019763318577731937,-0.0016790219789948957,0.00466698287224486
ACAN,0.024119533956223876,0.00648633597525393,0.023081492281752828
ACAT2,-0.01300524694002012,0.03528146025529451,0.0009006649879406695
ACKR1,-0.005496733972615234,-0.014573967968819436,-0.021778261737515552
ACKR3,-0.01999322447260852,-0.0026263806377920806,-0.006212072161228372
ACO1,0.0008947735247707023,-0.01613233277571361,0.03243456317733255
ACOT2,-0.0227624377144141,0.0030065705907562517,-0.0032659690115572257
ACOT8,-0.01633772747261611,0.030589486571999256,0.0056394556323308325
ACP1,-0.019415926266190944,0.0064083762421081126,-0.004681118889669794
ACSL4,-0.020796127515958586,0.009261594986079875,-0.010188645120074113
ACSL6,0.02213079521896102,0.004141340383884545,0.012761926255323965
ACTA1,-0.013178946046173142,0.0387610318721253,0.0077344670959045275
ACTC1,-0.0159266784929159,0.03664344353162421,0.006991040363698117
ACTG1,-0.01780887692277836,0.01373849697437327,-0.002818266093590536
ACTN4,0.019899914492114666,0.009492231689535446,-0.005559534974422859
ACTR10,-0.02074784546690021,0.015078123532183014,-0.001998568789304202
ACTR1B,0.019025440231042343,-0.0012352760804567057,-0.024069837820196047
ACTR3B,-0.020978017014261698,0.00448160721140296,-0.007260380167928432
ACTR3C,-0.009891563668954821,0.0034678745052870693,0.027249086847860645
ACVR1C,0.019072794748593386,0.014634983820287106,0.006852934578956758
ACVR2A,-0.020034436982682223,-0.018523378536031632,-0.01707724137932306
ACVRL1,0.009299393755944553,0.015006044143565754,0.020471460138051
ACYP2,0.016816219118026166,0.01774019930720458,0.011064448653083623
ADAD2,0.00042861958342749705,-0.007534396363176163,0.008715188775614223
ADAM22,0.020124147177072057,0.018820795100901143,-0.009919230916448205
ADAM23,0.02336467544061129,0.020646822174640377,-0.0009577434868851464
ADAM28,-0.015208448636660463,-0.0011017451605258397,0.012354380238769091
ADAMTS13,0.019344006252344836,-0.012503485441331596,-0.009875032287886217
ADAMTS19,-0.01844007707384129,0.009560923470798456,0.004462077390042642
ADAMTS3,-0.019868238425495996,0.018465587104221137,-0.018741908999515975
ADAMTS5,0.018226397088955962,0.01755875695695139,-0.007068041025559091
ADAMTS9,-0.016143484715679068,0.007944473239804104,0.03537448872803423
ADAMTSL1,0.01101822592041326,-0.030973221868141877,-0.00180299336993999
ADAP2,-0.01793609991662593,-0.001195368963907554,0.014068443465210514
ADCY2,-0.0181539574267473,0.021749943170381824,-0.0027046148027468917
ADCY7,-0.016355778661739574,0.028800511898806544,-0.016721183418915795
ADCY9,0.02198410472653433,0.004027372050431064,-0.009632433044536749
ADCYAP1,-0.0025959531425275924,0.024140878851210055,-0.012789710565554984
ADCYAP1R1,-0.016790625000092336,-0.014666657966918593,0.018079307523057583
ADGRB3,-0.019223232732468773,0.007167594590419463,-0.015169258843037596
ADGRG1,-0.01917138209480785,-0.0020851854448639805,0.003639990287285
ADGRL2,0.015151896614389666,-0.018815963764320848,-0.016892425478656523
ADGRL3,-0.01834945344216846,-0.015755395154363548,-0.010164755095972634
ADGRV1,-0.01956317268394273,-0.01274967415424695,-0.0005099414151767375
ADIRF,-0.021592476937372648,-0.012281751083000437,0.013526787750767022
ADM,0.019952915293935627,-0.003891013853771962,0.016210473376531708
