"Table S9: Differential expression statistics for those features that were significant and replicated in case-control comparisons. Based on N=351 independent samples/subjects and linear regression (two-sided p-values), see Methods.",,,,,,,,,,,,,,,,,,,,,,
Feature,Type,Symbol,EntrezID,EnsemblGeneID,AnnoClass,meanExprsAdult,Coordinates,log2FC_adj,pval_adj,fdr_adj,log2FC_qsva,pval_qsva,fdr_qsva,log2FC_pca,pval_pca,fdr_pca,CMC_log2FC_adj,CMC_pval_adj,CMC_log2FC_qsva,CMC_pval_qsva,CMC_log2FC_pca,CMC_pval_pca
ENSG00000035862,Gene,TIMP2,7077,ENSG00000035862,InEns,29.83276588,chr17:76849059-76921469(-),0.105964252,2.06E-05,0.001609427,0.139002215,2.78E-09,5.81E-05,0.091149482,7.44E-07,0.005280395,0.105971707,0.000244281,0.130681474,1.43E-08,0.074995125,2.26E-05
e1026240,Exon,TIMP2,7077,ENSG00000035862,InEns,64.46122765,chr17:76849059-76851946(-),0.104543757,2.51E-05,0.003035049,0.142507591,3.41E-09,0.000281588,0.13649784,4.06E-10,8.54E-05,0.10499936,0.001621935,0.134319659,1.72E-07,0.093395315,1.36E-05
e1026254,Exon,TIMP2,7077,ENSG00000035862,InEns,64.55041744,chr17:76849063-76851946(-),0.104540756,2.51E-05,0.003035492,0.142505633,3.41E-09,0.000281588,0.136496265,4.07E-10,8.54E-05,0.105006368,0.001623161,0.134330491,1.72E-07,0.093403166,1.36E-05
e586325,Exon,GRIN3A,116443,ENSG00000198785,InEns,3.788192509,chr9:104331635-104335795(-),0.02873301,0.531152851,0.745240304,0.162257891,4.02E-09,0.000281588,0.171680373,1.53E-09,0.000160921,0.036055991,0.163621691,0.040984188,0.048945766,0.039167192,0.047074633
ENSG00000198785,Gene,GRIN3A,116443,ENSG00000198785,InEns,2.48254606,chr9:104331635-104500862(-),0.007635724,0.855982561,0.938734503,0.144700853,7.23E-09,5.81E-05,0.133621303,1.89E-09,4.56E-05,0.037157245,0.124672413,0.042459629,0.023294681,0.025729226,0.127560684
er323081,ER,TIMP2,7077,ENSG00000035862,AltStartEnd,13316.25362,chr17:76849057-76853728(*),0.105360662,6.43E-05,0.008018649,0.140999939,1.01E-08,0.000926276,0.148303488,4.91E-11,1.36E-05,0.113751233,0.002322375,0.147543243,1.91E-07,0.076330529,0.000956487
ENSG00000130045,Gene,NXNL2,158046,ENSG00000130045,InEns,0.245820516,chr9:91150016-91199189(+),0.103492804,3.70E-11,8.93E-07,0.091658468,2.00E-08,9.86E-05,0.078453606,4.26E-06,0.012743533,0.014151975,0.037041897,0.014396571,0.033360537,0.010449262,0.115448073
e1172072,Exon,SH3BP1,23616,ENSG00000100092,InEns,4.279018148,chr22:38039462-38039795(+),-0.174492844,5.76E-05,0.004953484,-0.205677223,2.13E-08,0.00108061,-0.157014436,2.90E-05,0.016228343,-0.092476163,0.006416618,-0.090056022,0.00269222,-0.07682862,0.00336271
e287089,Exon,N4BP2,55728,ENSG00000078177,InEns,0.649403962,chr4:40155812-40159871(+),0.094326646,2.59E-05,0.003097705,0.081100818,2.32E-08,0.00108061,0.083378544,1.47E-08,0.000362463,0.081772437,0.008074669,0.054777192,0.006629342,0.015868115,0.367725164
e287070,Exon,N4BP2,55728,ENSG00000078177,InEns,0.649244049,chr4:40155812-40159872(+),0.094312992,2.59E-05,0.003097705,0.081088825,2.32E-08,0.00108061,0.083366116,1.47E-08,0.000362463,0.081763501,0.008074331,0.054771019,0.006629534,0.015866112,0.36773496
er94691,ER,N4BP2,55728,ENSG00000078177,InEns,155.0255778,chr4:40156821-40159766(*),0.268936456,8.81E-05,0.009642173,0.226653346,6.32E-08,0.003488771,0.21500454,1.06E-07,0.002079575,0.15629302,0.008753138,0.105206567,0.006068583,0.039667553,0.200661224
