Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs2278433,1,chr19:38701646-38720354,4.28E-06,ENSG00000011332,DPF1,1.66E-32,TRUE,<0.01,
rs9545395;rs936496;rs185989636;rs17811799,3,chr13:35516424-36705467,3.81E-11,ENSG00000172915,NBEA,5.89E-31,TRUE,<0.01,
rs1815612;rs11588892,1,chr1:244214583-244220778,1.82E-06,ENSG00000179456,ZNF238,6.46E-31,TRUE,<0.01,
rs12342546;rs1891642,2,chr9:126118449-126692431,1.11E-14,ENSG00000119522,DENND1A,7.58E-31,FALSE,<0.01,
rs12477385;rs10184275;rs79337536;rs13035589;rs729869,3,chr2:166095912-166651192,7.15E-11,ENSG00000178662,CSRNP3,4.07E-30,TRUE,<0.01,
rs8008076;rs11160916,1,chr14:29235050-29238870,2.13E-07,ENSG00000176165,FOXG1,1.93E-29,TRUE,<0.01,
rs173003,11,chr19:36139125-36279724,5.50E-09,ENSG00000004777,ARHGAP33,3.30E-29,FALSE,<0.01,
rs11235803,4,chr11:72975550-73309234,1.40E-06,ENSG00000054965,FAM168A,1.03E-28,TRUE,<0.01,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000134287,ARF3,3.06E-28,FALSE,<0.01,
rs2396366;rs138897545,5,chr19:1905371-2015702,7.72E-08,ENSG00000133243,BTBD2,6.87E-28,FALSE,<0.01,
rs118132764,2,chr17:61086898-61523722,5.96E-07,ENSG00000170921,TANC2,9.23E-28,FALSE,<0.01,
rs6534338;rs4295278;rs6836189,4,chr4:123073488-123542224,1.46E-11,ENSG00000138688,KIAA1109,9.88E-28,TRUE,<0.01,
rs34394051;rs1011124;rs4908620;rs12088178,1,chr1:6845384-7827916,2.30E-09,ENSG00000171735,CAMTA1,1.04E-27,TRUE,<0.01,
rs1335482;rs12754946;rs2647504;rs114020893,10,chr1:77747736-78835149,1.01E-11,ENSG00000077254,USP33,1.04E-27,FALSE,<0.01,
rs17489649;rs149589042;rs2416214;rs56018004,3,chr5:108572821-109205326,2.77E-17,ENSG00000198961,PJA2,1.07E-27,FALSE,<0.01,
rs6972278,2,chr7:94463216-94925727,5.88E-06,ENSG00000158528,PPP1R9A,1.26E-27,TRUE,<0.01,
rs9655780;rs2470966;rs4730020;rs17706792;rs16869996;rs6961668,6,chr7:103969104-105039755,3.70E-16,ENSG00000135250,SRPK2,2.09E-27,FALSE,<0.01,
rs71607150;rs11732852;rs13138842,2,chr4:158125334-158497306,3.27E-07,ENSG00000120251,GRIA2,5.89E-27,TRUE,<0.01,
rs10411759,2,chr19:1815245-1863564,2.88E-09,ENSG00000129911,KLF16,1.14E-26,TRUE,<0.01,
rs2303929;rs55813292,9,chr7:150642049-150841523,1.34E-07,ENSG00000133612,AGAP3,3.01E-26,FALSE,<0.01,
rs66671632,1,chr8:143692410-143695833,2.24E-10,ENSG00000198576,ARC,3.08E-26,TRUE,<0.01,
rs11678980;rs6760887;rs114952970;rs62194170;rs147303474;rs62188141;rs79997166;rs730289;rs16845572;rs116270371;rs150032378,5,chr2:161993419-162282381,1.60E-31,ENSG00000136535,TBR1,6.34E-26,TRUE,<0.01,
rs12461072,6,chr19:18208603-18359010,8.98E-07,ENSG00000105647,PIK3R2,8.62E-26,FALSE,<0.01,
rs12028010;rs2364544;rs11209894;rs72665647,5,chr1:41445007-41849262,9.78E-23,ENSG00000204060,FOXO6,1.49E-25,TRUE,<0.01,
rs61748951,28,chr1:155158300-156182587,1.31E-08,ENSG00000116539,ASH1L,2.66E-25,FALSE,<0.01,
rs2072927,6,chr1:1656277-1935276,1.48E-06,ENSG00000078369,GNB1,4.29E-25,FALSE,<0.01,
rs4255791,1,chr16:28303840-28335170,2.51E-08,ENSG00000188322,SBK1,9.83E-25,TRUE,<0.01,
rs3103307;rs11537608;rs62070648,12,chr17:28575223-29708905,2.04E-07,ENSG00000196712,NF1,2.03E-24,FALSE,<0.01,
rs4512319,4,chr7:91570181-92030698,2.13E-07,ENSG00000127914,AKAP9,2.31E-24,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174871,CNIH2,2.36E-24,FALSE,<0.01,
